,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
1978,24096,23403,25104,28232,30701,38530,49715,74553,81984,87659,81524,80035,74346,71691,70649,46550,75212,78606,87712,101067,113511,119877,101282,137690,99861,96463,92590,90826,88243,87413,85690,93338,86457,116664,116012,109502,104810,107817,94458,76201,62484,53859,57497,52370,47015,40428,35137,33963,29889,29371,25085,24599
1979,26091,29416,30814,32324,32135,36915,46803,63042,81277,82754,86839,85990,76122,72927,77148,51228,73489,80414,92321,127140,167140,218812,438642,121912,100893,88897,78266,74412,75249,81729,77562,83279,66415,79118,84403,78817,79359,86963,95877,100079,50081,46355,46605,42178,36234,35497,30154,27726,25770,26305,24241,25053
1980,24192,24021,22669,27561,32543,37241,49580,67219,77350,82428,92347,69470,77753,76063,78764,57200,96544,97509,102296,121091,148368,184494,189608,277824,126180,95252,86306,99778,102463,109075,99487,94152,78887,90010,85086,79494,78646,80820,86637,76894,43058,52167,63964,63017,57856,45034,35625,31726,26606,25897,26594,26428
1981,25768,27220,27144,29007,31859,40696,55027,77659,109863,108788,91386,75223,76918,93948,89186,81664,110091,110775,111369,112261,102431,100164,123446,149303,142129,142983,130283,125039,116234,103286,99274,97392,98368,119958,125234,102651,86974,86003,94023,88215,67093,67954,57956,55718,49427,44367,36150,34419,28447,29383,27983,27074
1982,21807,20644,24320,26210,30375,38156,58611,87198,88816,87589,74131,81202,86113,84340,74399,81914,84967,86609,96258,98607,105331,95728,75651,130188,98532,92412,99057,102606,109351,105120,103664,94252,91774,90641,79956,78425,79529,81935,80546,69051,70033,67128,65057,58940,52965,46032,42190,39873,37977,30220,25203,21966
1983,27093,30750,28038,31027,34794,44183,58995,84600,88596,92947,74534,85400,79327,84136,85240,71773,102235,107560,110676,112323,114166,121729,117563,106462,90875,89454,92823,94089,102325,117687,136209,177421,184731,199274,149883,102244,81166,88839,88087,73845,68194,65088,58307,48444,44820,43442,36328,35256,35563,31342,26736,27697
1984,24493,26985,28035,33104,40024,52034,64342,93040,108489,100631,91273,92899,97158,87434,85318,70370,92460,111080,114835,115975,109827,104780,102657,183832,190178,237029,268305,276808,275054,242127,179712,146842,98966,92535,89638,80045,74877,75547,77392,88004,41859,51107,53078,47516,46236,38923,38032,34920,33467,29247,23496,24029
1985,25198,23758,23407,24427,27943,33598,46471,72273,95574,102318,104151,76257,90824,84450,87470,62760,85566,97598,111481,117372,115975,105013,100390,86657,96160,106690,129987,184252,272431,296493,227063,170579,94453,111754,91888,84939,88476,86929,95132,82332,54210,56181,53667,62429,49711,47080,43022,39907,37731,33561,29946,29412
1986,26918,33689,28761,28115,32172,40262,52702,78847,99078,110930,114869,85608,96702,109333,135573,143865,252900,230970,196542,156748,123183,113167,141480,64686,88088,92047,99385,102607,122626,141336,148432,174634,170669,181257,144350,117999,100122,98173,112962,106291,55184,75342,61683,57492,52254,40328,34746,35076,34379,32934,29491,30821
1987,25194,27252,26734,31561,36845,48541,77338,97487,101368,87720,72474,82865,92164,96036,91010,115723,110723,110503,116041,118128,127029,133352,117384,146097,113615,98745,111392,103509,100297,96751,93445,89373,93935,87912,82332,83984,87462,94210,101232,71295,72042,68571,61481,63292,58813,50192,42826,37596,35624,31236,28792,26784
1988,32160,33145,31042,34167,38962,49356,66898,96616,107036,99890,70048,78095,80014,89248,86570,67788,89258,96435,105818,114543,124525,122248,111963,170362,160989,173414,217044,257510,240347,190722,144057,118278,78944,91327,85428,83045,85111,97573,88875,78267,66494,61486,60224,51043,47491,35943,36859,32140,29536,28079,28768,29610
1989,23379,22679,23429,24235,25283,30138,38977,54730,85060,94368,85355,92431,91376,83976,79021,75005,44400,80029,93638,112004,129082,183645,344524,140466,139136,143996,146491,144578,136214,134719,130000,127369,67834,95839,105868,90008,80791,80085,77060,76887,63267,50247,41308,49892,49672,42339,34946,32134,27382,24526,24188,21731
1990,18313,20395,19974,23380,27161,37340,48383,84575,93064,89134,78057,69515,66331,65328,66825,43040,65560,68360,77972,82216,85397,84524,83408,266231,137009,123110,113167,108382,106185,103663,100844,88817,69225,77849,71293,66495,59230,74078,71879,79706,43899,46274,52212,55969,47382,44777,39766,34567,36379,22786,18225,18591
1991,16352,17194,17456,19794,21269,27197,34817,60812,71934,68550,59596,50981,61545,66837,74913,45541,70154,71192,75093,81115,98042,130441,252387,62949,72950,79491,81487,92569,94812,114239,141621,172913,146805,220248,193818,135401,114922,89574,75161,66410,36769,37108,39449,39970,45887,32371,24370,23977,19746,17444,16623,15838
1992,10000,9840,9808,9770,11013,12987,21718,26187,36031,49881,56361,56737,59241,62022,58756,56284,46640,52852,60611,66593,77526,72748,76476,153720,79000,70672,55289,55797,56226,57272,55662,47381,51780,47492,42840,42055,43375,48281,47252,31105,24261,25119,28701,27506,24444,19052,18145,15326,13126,12287,10330,11000
1993,13540,12976,13405,14217,15936,18176,25170,41842,65394,63993,60065,54434,51040,47280,50569,46993,52067,64654,75356,77579,71843,63201,52312,73376,64819,80739,91234,96514,103909,95236,94020,89340,88000,91018,93608,75869,65963,66645,69225,52474,32246,34435,32584,32008,27458,24941,22062,21419,19854,17854,16897,15294
1994,10982,10089,9955,10613,12597,14358,19092,29855,44397,44153,43455,47594,50390,55811,56315,48131,45881,55091,57047,61292,57502,51389,51783,34552,33984,55247,64977,80128,99303,116638,127425,111190,88628,54983,55272,42921,37760,37531,38253,41630,37611,26224,29348,33853,30433,29142,23489,18443,18571,16912,14704,12420
1995,11637,11499,12237,13378,14853,16949,21636,31386,52020,54344,55547,55987,59844,56195,57869,40600,57021,71062,126324,249503,200960,161554,94212,36332,26789,34898,40887,45448,50839,56447,65146,71706,84248,71878,95677,99267,88860,83653,68369,52980,40652,30936,25961,32927,28379,23000,19941,15593,15709,14538,13382,11952
1996,12243,11895,12013,12648,13888,15585,21886,34127,50541,58624,61335,52331,54267,56978,55098,42082,51241,58761,68313,68470,65191,63541,65911,53651,54841,52869,51524,57893,58120,61614,59451,56837,41097,51389,47905,43661,49375,45540,49995,47113,30385,28394,28197,27876,25930,22803,17368,17944,15101,12253,11854,11474
1997,12892,13307,11769,14288,15915,19194,27022,46286,60669,70851,75008,66081,62125,63378,63748,44460,57839,59692,66204,68371,59599,69637,57501,64961,99904,151806,164031,140339,105738,90304,77746,75608,57229,55379,57325,49916,49733,47775,50162,49880,33678,30465,31515,31166,31007,26350,18773,20520,17623,14835,13314,13378
1998,12639,13272,12937,15728,16703,20937,28363,43936,57745,61817,69251,70833,73900,71412,67747,53781,53211,63498,70375,74747,69358,63491,56195,30066,36222,44840,47616,57271,65140,88431,114219,137903,109704,92141,77778,56535,50059,45313,50124,47125,33908,29215,29286,29614,28833,22503,17037,17217,16966,15662,13454,13558
1999,12553,12553,13926,16461,17415,20850,26245,37155,53116,59821,61109,57098,62247,64712,65361,51446,53873,61246,69889,71965,53799,55573,41985,34454,33986,53611,79047,116725,157583,165732,134659,105963,76600,66510,68103,57297,49326,48495,52069,46752,43474,31126,37563,39336,33874,29025,20809,16388,15773,14118,12553,12553
2000,14009,13846,15111,16740,19489,23399,32128,51658,63626,68434,64957,68545,69912,68205,65118,38615,55623,58484,67828,71073,51126,74482,78884,36747,73800,104569,129701,131542,107381,84694,68684,62839,43441,54442,45582,48068,49402,52205,50875,44922,35514,29847,39073,35727,30295,22990,18750,19717,17680,14221,13853,13734
2001,15857,17768,18083,18463,20107,24355,29531,42417,60039,50592,60039,59516,61153,64274,63395,58239,42005,52879,55964,61186,62577,56456,65230,59732,73819,74445,71981,71342,68123,65054,62152,64151,48655,58931,58163,57829,60057,60384,62488,60229,27098,32828,36984,36195,36334,30600,18915,22485,20363,15322,14117,13527
2002,13990,15023,15683,17097,20408,22429,26687,39870,51498,56322,62035,61719,64437,65730,64624,49433,50500,57536,64560,68074,55834,62170,62033,28861,50106,55506,60409,70921,73248,80138,82071,75637,61624,77270,65923,58577,57458,55906,56991,58454,23635,22952,36236,33170,31749,25428,20297,20453,20219,15106,13573,13457
