,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
40,10541,14019,17072,14495,16970,12508,12475,14993,14559,16740,15151,16833,15006,15160,12599,6369,11611,9489,9442,9303,9052,7550,8908,7642,10356,8984
41,9234,12203,10500,8788,13313,13474,12279,8342,11315,9892,15380,14700,12756,9044,7494,5182,7399,8522,8351,6176,6628,5940,8556,5905,4925,4194
42,9033,10242,9052,10088,13489,13205,11344,9646,10970,15917,14515,13319,10543,8848,6898,5163,7332,5937,6188,5474,5532,5347,6013,4627,5105,3414
43,9143,10550,8844,11964,11434,12560,10351,9421,9889,10443,13732,12560,8253,9619,6805,5963,7162,5862,5050,5156,5880,4968,6144,5778,5419,5021
44,11017,10884,8828,12145,11273,11651,9742,9904,12754,11053,14374,11171,9644,11323,8468,5866,7407,7039,6445,5712,6495,5331,6947,5941,5680,5119
45,10041,10040,7589,10696,10351,10613,9697,10451,9535,10651,12408,9999,10397,9378,6924,4639,5940,6821,6356,5528,6633,5663,6900,5337,5403,5299
46,8765,8183,7736,7635,9471,8526,8950,8237,9014,7896,9406,7267,8410,2941,5568,3782,4793,6601,5203,4713,5673,4330,5937,4011,4302,4295
47,6477,6382,5502,5530,6832,6553,6503,7506,7300,6308,7279,7278,6647,6138,4094,3317,3837,4972,4373,3285,3983,3297,4022,2853,2663,3267
48,5790,5787,4611,4620,6049,5276,5923,5821,6169,6405,6533,5828,5901,4822,3456,2533,3407,3552,3425,3133,3826,2969,2850,2704,2692,2816
49,4641,4723,4000,3800,4664,5294,5472,5377,5376,5797,5731,5007,4631,5439,2876,2056,3086,3250,3224,2437,3223,2932,2457,2438,2406,2693
50,4559,4785,4174,3738,4773,4263,4822,4139,4699,4913,4722,4606,4052,3256,2703,1811,2886,2949,2903,1987,2656,2492,2124,1937,1721,1842
51,4365,4291,3653,3742,4567,3412,4011,3150,4017,4066,4458,4726,4226,2772,2719,1601,2506,2438,2549,1694,2352,1938,1928,1684,1741,1660
52,3986,3862,3912,3376,4025,3430,4196,3349,4003,4384,3985,4577,3570,2891,2505,1700,2266,1794,2204,1661,2098,1895,1928,1657,1590,1473
