,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
1,2252,1934,2357,1191,2316,2249,2732,2043,1586,2015,2234,3883,2012,1458,1442,750,829,849,1489,1352,1490,1502,1811,1550,2170,1540
2,2587,1898,2850,1214,3407,1977,2631,2621,1545,3188,2206,4085,2265,1767,1759,801,1120,866,1481,1276,1604,1868,1811,1540,2799,1761
3,2939,1944,2690,1417,3579,2031,2266,2044,1692,3261,2097,3145,2258,1354,1676,825,1140,1051,1643,1238,1482,2058,2543,1865,2715,1838
4,3302,2311,2786,2581,3567,2545,2703,2543,2251,2571,2814,3700,1967,1799,1746,851,1380,1161,1695,1351,1837,2462,2681,1811,2591,2047
5,4299,2792,3510,3506,3847,3966,3914,3442,3727,3712,4048,4245,2113,2594,2178,926,1635,1688,1938,1629,2051,2553,2581,2352,2937,2742
6,5061,4169,5170,4274,5915,5284,5144,5263,5340,4739,6744,6294,3128,3966,3010,1347,2172,2073,2693,2165,3129,3676,3487,3471,4171,3239
7,8113,7598,7731,6334,8506,11637,10411,8464,8123,7920,15183,12355,4317,7207,5006,1798,3870,3144,5159,4472,5952,5988,5275,7208,6841,5165
8,12525,14187,13732,11405,15325,19019,17633,19870,16314,16753,19662,19643,8478,17284,13227,3261,10315,7605,8642,9642,14044,12586,10396,14874,12144,10248
9,15165,13766,15901,13556,20984,16432,16195,26925,21580,19619,19194,19594,17222,17098,14218,8140,17429,13101,15093,14304,16919,17001,15849,17216,16206,13249
10,14633,13791,13873,14264,17040,15600,15975,18097,18999,22359,17289,17892,17445,15410,12560,11794,14211,11218,13659,15100,17492,18397,17170,17377,13982,13131
11,14093,12010,14376,16266,14082,13919,13413,16234,17705,21512,15037,12513,14149,13840,20573,11456,13111,10991,13105,16022,19015,22158,17014,17829,16206,12373
12,14199,12715,14853,12707,13680,14947,15019,16881,13767,16537,17476,14786,15361,12992,9658,10467,11499,12133,14087,13394,17263,23829,16219,19483,15371,13094
13,14663,12486,13792,14471,16812,16668,14708,18406,21440,19580,19667,14886,15788,13304,12412,11353,11734,13907,15596,15104,16762,25060,17537,20458,15635,13471
14,13862,12743,13322,14870,19643,16857,15949,17144,17473,23221,20748,16882,15112,13140,13617,12725,11080,15559,14781,15633,17926,23269,18219,19844,16999,14014
15,12637,12129,14255,15256,18990,13464,15849,15869,17641,29999,15971,16019,14652,12713,14907,12022,11349,14756,14090,14429,17057,19985,17624,16515,16670,14286
16,9826,6966,7727,9594,14047,14632,12113,10487,10081,27259,19739,11537,13255,6435,6557,11316,7813,8863,7315,8557,8686,12234,9810,7028,13730,8113
17,13088,12986,11925,17150,18800,15472,18253,15267,15671,43223,22389,16612,6107,11359,12299,6285,10173,8586,12370,12209,13823,13141,12001,12531,7700,10987
18,14055,14444,14663,19424,20200,17541,21279,20214,19734,44391,25392,19478,12899,13083,14158,8578,14546,12669,20407,14921,15286,16334,14814,14194,11875,12878
19,15273,16575,19411,23977,21668,19822,22330,22174,23809,38441,26281,21514,17736,16998,16041,11577,19359,14595,47462,20616,18647,19995,18416,18128,13577,15592
20,20377,19699,28581,32056,21128,20313,22822,20957,25013,30298,28353,23054,24141,18666,18951,14829,19029,18048,90683,21383,20257,21402,19459,20729,15452,16315
21,39883,20636,29581,44730,19284,20763,26029,20957,23330,24744,31754,24106,28723,18628,24905,19061,17073,16525,47130,18897,16624,18970,13567,15840,16172,13353
22,82490,21060,47770,59252,17782,18549,30721,19954,20473,22808,37995,23892,41592,17374,41664,16555,13906,13597,28806,16737,16847,16152,11923,22975,14080,12986
