,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
23,45927,14555,84651,58063,22178,12214,30695,18773,18478,23029,32471,18853,58917,15052,71174,16944,11898,12122,14939,15583,12032,12607,6805,24434,14874,10392
24,26466,14381,9942,35173,32086,15621,11716,31345,10501,8648,14114,26801,15256,26496,8134,18578,14498,6594,5898,6173,11060,4870,6149,4512,11370,3933
25,22446,8937,9027,10403,15641,14849,12754,29472,10736,9514,16573,28914,18513,13874,7456,8115,13321,5111,3566,8192,12804,5114,5239,14809,15390,6445
26,22492,10984,11628,12387,17692,17561,16072,46904,17220,13490,16436,39413,27035,18108,12162,9335,14526,11714,6037,10524,28077,9798,11836,25376,20337,10053
27,22038,12691,12227,15288,19531,21452,18890,61898,27288,18654,21531,54064,33148,20490,15540,10341,22199,16274,9266,12849,42465,12271,19351,31463,22504,13232
28,17561,13149,12645,20741,21326,23036,19209,59546,43228,22052,20421,56965,33874,21467,20610,11715,24850,22481,11792,14867,38227,16812,30306,29589,21346,16972
29,14435,13190,13488,19733,20405,24720,21855,50114,58197,26971,19794,47787,30849,21881,20870,12119,25526,27961,14483,15617,28278,21335,38523,23936,19470,19328
30,12402,13207,14338,19599,18520,23511,24916,39167,52815,28302,18808,35435,29164,20849,27358,12071,23151,30477,16909,15685,24126,30438,36412,19472,16635,20490
31,10051,13333,12821,15914,17509,22481,30859,29065,35986,45958,18288,25639,28000,18863,37958,11106,21652,28868,18931,14367,20123,37723,30081,16279,15162,20151
32,10400,14444,13746,15001,18928,19220,41137,25145,26911,41034,16590,21151,27027,15943,49414,16093,21091,14549,20593,13484,20482,41862,24812,15598,15458,16715
33,7231,13144,10179,12000,21824,17402,35258,16754,14764,40943,17253,13463,13680,12369,42833,10309,22814,18933,24831,9803,15445,32961,19712,10415,11523,13774
34,8691,16130,11845,14271,29677,15723,32745,13951,18106,42859,14749,15543,19759,13264,54989,8294,25667,11075,20129,12336,14503,24627,18764,13243,13964,17062
35,7476,13986,12729,12831,33727,11326,22916,13413,14204,30982,9711,11847,9168,11185,41458,7095,23204,10512,25867,10036,14204,17833,17903,8027,13522,13361
36,5822,8974,8983,8553,21593,8682,11758,8350,9538,18048,10280,8756,13725,8083,19205,5355,15186,5749,21848,6684,8836,9152,11018,8326,10604,8452
37,7461,10524,10160,9370,11677,10907,11135,9066,11618,16760,13830,11855,8263,8381,17926,7140,12611,4213,13406,9489,9645,8425,7642,11444,12380,10144
38,8693,13146,14107,12480,14269,13690,15985,11276,14714,17871,16843,16773,10900,11725,16115,9795,15597,6583,14848,10046,10951,9809,10590,13750,14108,11394
39,9997,12701,19744,15563,18797,15170,17279,12717,18091,25183,20571,15819,12048,12981,14907,10458,17087,7840,15253,12266,13134,13096,13130,14441,15937,12394
40,9387,11798,24508,14537,19185,12694,13073,15964,14474,24046,14294,14670,13923,14051,13939,6743,11726,9921,12782,11752,12754,12989,12580,12459,15427,12644
41,6868,9111,10636,7947,14343,12192,10999,7119,9523,10811,12371,10929,12386,7412,6723,4313,5816,9037,10265,7513,8236,8540,12340,9226,6004,4924
42,6276,7732,8169,9396,11738,11546,9927,9038,8984,12944,12097,10199,9338,8147,6059,4389,6011,5723,7534,6499,7064,6756,7587,7300,7335,4491
43,6000,8978,7374,11109,9075,10947,8521,8853,8605,9746,9955,9650,6986,8613,5814,4295,5205,6329,6096,6456,7020,6761,9298,9159,8295,7684
44,6112,7518,6828,10333,8854,8206,6692,7379,9925,8964,8473,6904,8214,9449,5222,2931,4026,6736,7599,5512,6377,6337,9104,7007,7496,7121
45,4228,5086,4774,7641,6760,5145,4608,5849,5838,6934,5703,4787,7043,4881,3523,1864,2499,4766,4992,4204,4696,5082,6180,4343,5090,5404
46,2530,2652,3025,3285,4391,3112,3057,3150,3314,3530,3163,2660,4257,2760,2022,1177,1822,3250,2963,2663,2979,2812,3675,2641,3104,3184
47,1753,1895,1955,1751,2412,2246,2101,2396,2614,2472,2513,2284,2447,2020,1417,1114,1377,1991,2432,1679,1733,1882,2182,1955,1854,2219
48,1811,1913,1885,1421,2159,1955,2370,2114,2636,2532,2626,2082,1932,1851,1286,1028,1479,1486,1790,1690,1856,1868,1655,1894,2040,2298
49,2194,2075,2193,1424,1861,2979,3108,2622,3788,2652,2834,2405,1851,2566,1200,929,1320,1531,1844,1525,1696,2189,1945,1949,1897,2327
50,2042,2093,2539,1872,2854,2037,2353,2339,1957,2733,1877,2193,2145,1566,1255,930,1420,1384,1673,1303,1598,2093,1922,1568,1578,1587
51,1829,1645,1816,2403,2445,1498,1800,1395,1978,1797,1090,2365,2063,1338,1304,679,1147,1159,1668,1150,1311,1600,1811,1306,1445,1241
52,1670,1637,1904,1958,2029,1582,2248,1448,2240,2131,1814,2757,1644,1412,1217,800,940,884,1366,1275,1495,1530,1811,1460,1529,1375
