,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
40,10470,12620,10856,10943,13032,14572,13824,10569,14062,12319,17550,16035,12815,9449,7757,5125,6508,5897,5409,6333,6095,5288,6964,5575,5271,4233
41,10188,11710,10234,12349,13646,13838,12942,12221,13702,15829,16736,14960,10863,9377,7242,5069,6358,4732,5233,5772,5394,5232,6027,4359,5643,4339
42,10302,11461,10170,13193,12403,13366,12369,12248,12093,12671,15623,14169,9396,9721,6635,4895,6120,4577,4204,5313,5740,5148,5861,5185,5478,5524
43,11041,11320,10110,12702,12499,12712,11399,12402,14455,13207,16031,12976,10776,9838,7133,4937,6027,5195,5161,5380,5923,5007,5977,5324,5692,4863
44,9903,11094,9126,11901,11936,12373,11200,12337,12170,12820,13840,12674,11072,9056,6651,4944,5100,4951,5158,5149,6019,5174,6052,5121,5569,5096
45,9870,9558,9105,10125,11084,10702,11042,10329,12409,10428,12091,9887,10079,8640,5916,3968,4502,4858,4504,4802,5663,4258,5772,4157,5007,4806
46,8707,8643,7339,8518,9291,8950,8847,9235,10545,9452,10558,9372,8640,7455,4847,3613,3950,4329,4328,4030,4241,3595,4524,3497,3497,4223
47,8270,7877,7296,7350,8968,7808,8717,8094,9232,9123,9535,7900,7720,6506,4268,3050,3563,3539,3557,3727,4772,3566,3576,3132,3566,3721
48,7113,7086,6524,6315,7224,7451,8003,7840,8377,8348,8276,6915,6644,6982,3643,2469,3391,3200,3204,3040,3973,3341,2976,2910,3215,3680
49,7120,7108,6514,5814,7260,6661,7507,6765,7792,6370,6947,6359,5832,4528,3334,2385,3191,2834,2774,2642,3180,2845,2688,2311,2502,2782
50,6950,6168,6015,5775,6663,5751,6185,5358,6859,6939,6633,6361,6029,3896,3189,1926,3034,2498,2690,2520,3103,2352,2336,2294,2399,2418
51,6589,6303,6124,5535,6366,5658,6701,5763,6720,7259,6008,6589,5160,3620,3009,2100,2759,2102,2518,2393,2927,2537,2336,2196,2208,2249
52,6468,6253,6261,4762,6226,5736,6347,5938,6176,6492,6044,7222,5907,3921,3179,2000,2574,1883,2341,2537,2716,2348,2336,2261,2575,2434
