,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
40,20351,28550,18089,15380,26405,29795,31092,15829,19310,22162,26741,24830,19503,17994,14795,9641,12523,14155,16627,10363,12719,14140,15614,14808,10898,10284
41,19624,24175,18900,20334,29081,28539,30875,20202,22525,30652,25223,23008,16673,19902,16909,10498,14734,9832,11981,10649,12475,11880,11499,13561,14745,10708
42,18442,26508,20217,27698,25044,28184,27066,22556,23080,28823,22171,23845,21258,24259,20195,13548,14097,12580,10611,11272,12875,12409,16260,18951,17792,18007
43,19085,22648,16412,27837,23092,26371,20611,17831,25295,24268,24414,19992,21160,25359,19147,13772,14548,14883,13722,11272,12371,12939,17308,17455,17327,16067
44,20763,20795,14745,27618,20380,24834,19315,17599,22168,21849,26862,20031,19593,24067,28789,12997,13919,13895,11873,11049,13659,12914,14742,15494,20272,15950
45,20322,20035,15631,23989,19421,23692,20393,17207,22343,18474,25532,16129,17212,30436,18865,10125,13824,14433,10330,10625,12035,11103,13641,12181,18187,13143
46,18871,18217,15358,14473,17615,24441,18877,18895,22563,16514,22476,17925,16581,24153,14012,10101,12898,12197,8808,8366,8816,8263,10081,10445,10901,10588
47,17536,18386,13934,19826,17243,24834,18246,18892,21870,17016,18902,16330,14256,21388,14967,8715,13070,9866,6821,9394,10066,8814,8307,11987,14187,11618
48,15354,16005,13053,18335,14698,22253,18980,17628,20190,17582,18783,15209,12497,21392,12027,7672,12357,10571,7437,8099,8731,8504,8395,10383,12845,11519
49,13986,15385,13078,15067,14496,17259,16660,16004,19113,18918,17690,14921,11870,13436,10152,7161,11357,9745,7188,6321,7401,8232,7384,8405,15322,8895
50,14523,12981,12757,14674,14308,14542,14740,13593,17092,16689,16611,15316,11357,10219,9411,6124,10110,8609,6475,6490,6548,7564,6478,8569,8532,8254
51,13307,12797,13113,15559,14654,11296,14552,13469,16449,17047,14977,15687,11313,10668,9107,6400,9229,7640,5864,6145,6858,7596,6478,8421,8200,8360
52,12647,13169,13461,15720,13332,10420,13792,13078,14590,14684,13179,15869,11088,10056,9008,5850,8124,6562,5873,6621,6597,7010,6478,8474,8989,8503
