229,88,72,601
210,91,72,582
172,68,75,702
146,74,80,774
149,73,84,814
121,56,59,926
89,54,90,854
86,77,59,791
85,64,70,668
77,68,48,674
69,51,66,646
67,48,65,620
46,52,68,608
73,39,60,527
57,44,51,523
51,36,50,483
54,41,59,522
49,48,51,493
56,35,49,518
45,40,48,511
52,42,54,489
63,50,55,505
53,39,64,458
47,53,54,414
47,47,51,461
58,43,46,519
42,35,55,492
57,39,60,502
51,36,51,462
50,48,51,462
55,39,53,454
45,51,46,445
53,45,58,478
57,33,61,507
54,57,75,452
57,47,76,469
63,68,92,450
58,64,108,506
72,80,143,514
89,104,152,519
72,109,201,598
81,113,199,614
78,102,197,618
96,88,187,640
93,111,217,644
87,122,244,682
100,128,275,698
105,197,323,760
121,160,357,728
104,123,293,759
92,125,278,735
107,139,343,845
107,149,312,841
121,191,380,889
110,228,415,929
98,197,453,893
124,189,420,927
118,190,406,939
123,180,413,954
127,186,400,961
152,264,538,1102
145,305,561,1110
205,279,578,1094
142,250,551,1103
159,291,506,1141
146,260,530,1211
178,321,548,1280
180,350,655,1281
161,462,727,1373
164,424,763,1404
177,317,687,1365
199,296,625,1391
218,289,636,1445
198,338,643,1474
231,386,711,1580
213,522,807,1710
239,449,822,1619
232,405,723,1624
222,353,763,1647
203,364,758,1646
223,438,726,1740
277,506,829,1776
278,594,1004,1903
284,530,1007,1768
262,511,887,1731
267,439,894,1802
264,392,840,1840
264,458,865,1935
278,574,954,2017
357,694,1155,2105
268,616,1171,2158
289,544,1071,2061
277,482,1058,2060
249,461,985,2169
306,527,1061,2219
353,649,1158,2286
382,748,1395,2377
317,728,1350,2498
307,603,1194,2395
341,516,1025,2296
320,541,735,2389
340,608,492,2426
370,797,254,2365
426,841,216,2202
363,776,185,2230
354,650,225,1984
305,546,257,1899
287,497,363,1864
297,479,453,1944
346,777,544,1976
356,810,704,2035
312,747,755,2050
314,593,756,2007
321,565,688,1982
289,505,770,2030
283,528,861,2103
352,704,1021,2262
336,775,1145,2345
320,686,1164,2452
340,576,1025,2321
292,543,1034,2393
306,503,1086,2431
351,610,1174,2610
349,725,1301,2759
383,906,1503,2786
375,744,1576,3018
393,689,1347,2810
387,596,1253,2844
368,604,1351,3007
370,684,1415,3201
406,906,1629,3263
446,1031,1875,3379
471,848,1724,3490
423,694,1649,3370
457,701,1501,3411
443,704,1605,3547
469,788,1654,3658
533,1077,1812,3806
565,1116,2110,4003
501,995,2108,4206
508,831,1830,3917
513,805,1540,4002
536,789,1796,4157
511,906,1931,4186
610,1150,2112,4410
613,1309,2352,4517
608,1134,2353,4518
544,869,2005,4263
583,981,1784,4358
499,916,1602,4395
539,1053,1069,4265
637,1359,796,4220
621,1444,663,4093
625,1161,376,3882
506,890,327,3254
472,684,288,3081
364,487,311,2686
324,276,258,2234
286,291,252,2097
280,356,417,1892
259,418,413,1773
237,341,363,1530
271,373,310,1517
205,368,198,1432
249,426,197,1373
283,509,318,1494
280,627,420,1622
277,524,519,1565
267,423,540,1516
251,453,580,1637
240,365,600,1685
256,457,704,1837
274,516,841,1933
294,650,981,2190
275,575,1001,2182
302,494,876,2116
281,444,823,2176
251,485,918,2323
282,538,1053,2463
336,731,1165,2567
379,802,1280,2802
331,699,1378,2844
356,570,1213,2703
352,563,1126,2766
354,580,1226,2855
358,680,1403,2967
418,906,1567,3310
466,974,1858,3536
439,831,1803,3654
401,699,1643,3453
429,666,1440,3573
407,743,1623,3697
467,855,1745,3891
494,1126,1977,4130
596,1284,2308,4432
501,1098,2235,4621
507,799,1858,4138
529,871,1741,4320
503,851,1859,4600
528,1023,2151,4607
583,1288,2233,4822
702,1412,2597,4945
623,1155,2546,5269
598,874,2115,4664
575,973,1840,4827
564,941,2083,4917
607,1074,2104,4939
650,1316,2207,5182
686,1230,2086,5137
592,901,1729,4802
541,723,1578,4316
492,672,1276,4147
441,667,1498,3986
498,856,1608,3904
546,1088,1794,4051
589,1176,1938,4193
