357,286,259,1000
126,109,156,2077
138,92,125,1691
126,90,153,1697
122,91,135,1515
110,86,100,1432
87,74,87,1616
82,66,82,1495
78,68,100,1131
69,63,81,1062
62,70,86,1105
72,56,81,1029
82,61,101,985
73,47,73,1136
57,51,71,1056
69,66,83,984
58,52,84,902
52,45,86,978
68,53,79,936
62,53,67,882
43,48,66,1071
66,49,66,993
53,62,67,944
64,49,65,914
57,71,83,911
53,44,67,880
74,51,66,891
59,40,55,978
55,45,54,1056
63,43,80,906
63,55,65,848
66,64,97,953
62,106,138,986
83,139,210,988
59,43,226,1233
61,56,88,1265
93,219,419,1167
94,152,317,1219
101,217,382,1353
122,232,451,1428
131,289,489,1534
121,50,465,2002
127,134,160,2184
151,259,611,1648
146,252,477,1670
189,334,563,1868
186,333,656,1977
216,381,630,2043
142,81,534,2797
182,171,237,2922
216,391,729,2300
211,349,639,2044
243,440,798,2303
233,512,804,2478
274,481,900,2507
168,117,759,3614
217,235,281,3578
300,508,1138,2810
257,519,816,2656
321,624,964,2755
290,639,1007,3121
332,731,1023,3135
272,194,1076,4667
336,366,451,4475
435,939,1464,3446
398,791,1184,3272
470,972,1468,3695
522,1040,1577,3930
552,1095,1587,4241
368,223,1490,6075
469,452,611,6284
603,1049,2064,4764
473,990,1629,4326
616,1203,1987,5029
629,1304,2071,5167
687,1387,2015,5567
456,265,1858,7771
587,591,710,7988
784,1265,2415,5956
645,1224,1895,5340
787,1430,2363,6083
884,1571,2431,6233
876,1670,2459,6621
571,322,2123,9480
745,688,866,9522
899,1645,2717,7109
741,1360,2205,6126
951,1713,2660,7026
951,1702,2617,7105
1102,1884,885,7020
717,383,763,10355
765,634,692,9432
912,1697,685,5645
723,1345,549,5045
780,1824,533,5197
766,1694,534,4752
511,386,399,6296
432,217,925,6165
429,340,381,4930
566,1096,1418,4178
458,838,1138,3621
577,1163,1568,4190
590,1174,1587,4278
648,1264,1669,4806
448,209,1298,6702
531,415,533,6930
657,1098,1750,5136
596,985,1454,4656
653,1203,1732,5153
676,1189,1743,5299
688,1188,1960,5556
468,248,1539,7535
601,471,605,7860
688,1123,2138,5600
659,955,1660,5011
728,1174,1955,5672
762,1298,2004,5715
793,1310,1965,5998
476,264,1678,8317
626,532,632,8385
787,1258,2203,6202
708,1105,1673,5588
772,1263,2041,6036
857,1341,2145,6109
833,1405,2220,6573
553,261,1805,9101
692,544,618,9212
827,1358,2417,6723
724,1110,1784,5859
729,1426,2157,6499
815,1427,2209,6621
863,1481,2152,6840
530,287,1865,9549
676,531,673,9626
804,1394,2261,6991
715,1218,1833,6018
879,1422,2160,6672
791,1493,2129,6776
892,1632,2226,6922
607,257,1772,9637
766,583,687,9770
856,1505,2298,6972
729,1238,1724,6323
882,1531,2071,6683
850,1659,2121,6501
974,1492,2248,6791
568,287,1856,9344
669,516,606,9395
814,1343,2444,6426
675,1090,1789,5637
743,1334,596,5545
766,1418,613,5589
754,1375,518,4933
362,232,392,6770
407,351,346,6091
340,285,310,4785
256,204,248,3759
237,188,207,3311
172,129,145,2452
132,126,116,2004
138,69,88,1650
117,68,85,1443
170,288,90,1110
140,274,102,1101
193,364,118,1259
202,356,126,1230
232,400,303,1298
107,61,256,1895
119,113,147,1999
195,376,528,1585
133,269,449,1592
158,382,624,1838
209,366,616,1970
198,404,648,2177
139,101,601,2878
172,178,235,2998
269,457,756,2423
205,410,676,2126
247,533,819,2506
243,609,823,2535
268,642,944,2916
203,131,799,3829
285,254,337,4124
291,670,1081,3056
274,560,959,2888
345,728,1129,3078
387,770,1259,3207
438,851,1339,3446
278,186,1076,4867
345,327,443,5190
477,771,1563,3694
406,800,1207,3380
526,942,1527,3865
571,978,1534,3970
596,1123,1588,4396
345,255,1320,6370
433,475,541,6567
611,1094,1759,4793
526,928,1592,4289
628,1281,1828,4990
641,1288,2049,5209
731,1307,1955,5601
477,257,1722,7929
598,548,645,8228
740,1225,2197,5924
627,1072,1755,5364
682,1356,2024,5818
587,453,607,7527
867,1760,2601,6500
433,232,1560,7291
579,526,601,7813
757,1410,2625,6082
667,1145,1855,5209
751,1415,2358,6135
896,1522,2268,6289
873,1507,2335,6884
594,279,1882,9442
757,653,692,9794
862,1405,2559,6815
762,1271,1951,6251
601,516,641,8580
928,1888,2859,6717
846,1370,2105,5979
506,269,2100,8887
718,537,686,8734
788,1610,2889,6811
684,1255,2184,5917
825,1617,2541,6880
880,1577,2381,6883
976,1594,2496,7275
621,333,2021,10352
787,678,800,10241
919,1448,2500,7478
874,1239,626,6047
923,1521,690,6575
907,1563,607,5842
943,1482,561,5579
510,241,456,7115
579,452,454,6648
737,1200,433,4258
637,970,312,3680
686,1279,400,3775
686,1208,939,3671
628,1180,844,3708
387,160,1107,5252
441,310,404,5330
616,897,1585,4196
475,810,1108,3716
584,899,1492,4174
543,921,1482,4211
569,1017,1489,4496
394,159,1296,6293
477,343,487,6184
534,825,1591,4626
408,695,1293,4185
486,782,1483,4462
522,848,1644,4453
563,862,1573,4643
356,180,1338,6238
431,386,525,6225
549,860,1715,4690
433,786,1255,4201
508,930,1606,4422
509,1000,1580,4584
504,1022,1695,4817
399,193,1454,6455
457,358,488,6545
524,962,1798,4787
528,797,1325,4269
559,1017,1669,4566
602,982,1634,4565
628,1110,1684,4735
370,217,1327,6650
482,390,459,6702
432,339,467,5908
502,883,1441,4077
409,784,1142,3676
480,1007,1507,3845
506,1029,1560,3854
314,158,1395,5432
443,363,435,5464
495,901,1677,4213
326,248,337,4473
524,915,1688,3943
407,675,1137,3369
472,868,1538,3728
288,154,1160,5035
392,367,406,5136
487,762,1576,3809
367,684,1117,3457
447,833,1297,3809
436,885,1341,3724
478,931,1323,4070
307,188,1107,5310
398,373,382,5403
428,854,1460,3976
393,660,1136,3615
466,814,1243,3858
454,840,1394,3776
495,884,1306,3939
307,168,1117,5421
392,350,411,5365
473,792,1427,4003
387,646,1133,3496
484,831,1265,3861
500,783,405,3314
510,861,438,3512
300,154,373,4613
295,285,305,4146
365,754,282,2524
318,562,216,2223
343,678,254,2221
327,695,238,2123
322,781,254,2077
170,74,165,2587
215,182,197,2666
164,169,166,2213
207,420,143,1512
195,337,152,1437
208,420,144,1540
214,415,154,1415
112,64,135,1763
124,109,120,1787
199,358,134,1326
142,297,117,1271
177,335,127,1267
171,361,140,1243
177,435,175,1315
99,67,124,1769
113,101,128,1701
154,379,152,1222
142,298,106,1223
148,304,133,1297
151,369,136,1260
149,330,137,1240
92,99,95,1706
113,101,116,1682
90,98,116,1174
74,88,94,1094
72,86,116,1086
80,68,86,1073
56,63,81,1017
67,41,68,1232
70,62,71,1088
82,59,63,880
71,62,69,976
68,70,77,888
65,73,62,902
74,52,70,937
56,52,62,1034
62,46,60,1002
53,60,65,865
63,60,83,883
60,72,71,917
68,55,69,896
55,60,91,938
84,50,66,1113
76,66,61,1042
76,55,75,957
72,60,80,914
67,50,86,907
63,67,91,868
80,60,82,951
70,53,75,1036
67,53,64,1050
