0,0,869,323,224,341,222
335,168,991,408,330,411,268
293,213,926,393,298,434,280
317,206,901,371,317,395,306
340,255,837,383,288,387,242
302,234,751,338,293,333,216
372,205,734,292,276,329,173
344,259,817,303,260,323,202
379,229,822,249,241,316,210
325,225,760,300,249,316,175
356,241,765,239,232,310,190
344,250,768,243,228,316,172
371,258,616,263,221,290,174
309,250,648,283,226,287,145
377,256,802,225,241,310,154
352,247,723,231,225,303,157
369,289,687,252,229,301,191
361,292,813,250,203,288,165
363,289,764,259,211,306,175
333,274,646,231,211,235,156
380,219,649,241,224,288,183
389,264,753,267,233,288,183
380,268,762,240,201,274,166
409,252,773,267,218,262,169
402,274,772,236,208,285,199
456,291,743,245,222,259,157
358,273,656,273,208,211,142
411,254,658,282,209,230,179
423,271,777,295,219,269,164
446,305,767,253,202,249,146
400,288,767,264,245,248,168
415,266,826,252,213,269,168
435,311,963,412,315,318,231
409,281,760,300,232,258,144
404,271,700,291,203,250,141
454,317,1270,421,351,423,242
467,334,1132,415,341,436,249
456,370,1294,490,430,489,234
496,357,1505,529,413,510,274
497,388,1629,584,482,577,291
482,356,1339,470,339,500,237
453,321,1325,488,267,395,225
564,390,2100,760,593,736,390
539,445,1950,726,620,726,331
562,483,2047,761,664,739,345
617,448,2473,798,711,831,424
634,506,2601,857,656,949,425
541,452,2058,735,537,760,382
531,375,2092,661,458,613,292
662,447,3065,1056,926,1181,520
609,470,2888,1042,926,1085,484
658,501,3003,1051,906,1119,537
666,588,3463,1099,1029,1289,558
714,618,3641,1153,1003,1417,564
619,561,2966,939,747,1029,487
560,511,2870,883,551,940,413
683,597,4323,1387,1311,1781,727
698,641,3830,1376,1314,1604,661
699,682,4105,1386,1271,1593,688
743,732,4755,1376,1211,1835,724
776,756,4875,1451,1254,1995,795
707,655,4027,1227,976,1570,683
597,550,3695,1103,705,1230,545
784,611,5604,1817,1641,2413,1046
811,652,4928,1657,1596,2251,935
877,720,5252,1707,1593,2268,914
865,781,5930,1652,1584,2447,973
986,764,6208,1785,1611,2698,1070
788,709,4997,1517,1135,1986,723
722,589,4603,1337,907,1738,672
897,659,7071,2103,1959,3174,1133
912,733,6004,2005,1913,2891,1083
935,799,6568,2040,1922,2701,991
965,789,7038,2015,1940,3027,1094
980,865,7355,2037,1929,3317,1175
889,703,5856,1847,1403,2376,873
836,540,5382,1564,1107,2082,701
1001,596,8029,2421,2348,3746,1320
1007,629,7068,2285,2245,3449,1213
1098,670,7385,2314,2243,3244,1150
1053,771,8100,2285,2212,3335,1210
1207,789,8339,2450,2199,3669,1423
936,690,6534,2051,1625,2944,1007
979,609,6089,1813,1302,2420,837
1117,684,9101,2813,2654,4090,1505
1143,744,7810,2688,2647,3716,1339
1191,761,8332,2734,2401,3649,1335
1307,891,8884,2597,2500,3733,1334
1387,927,9081,2755,2402,4200,1523
